MPG,Cylinders,Engine,Doors,Seats,Horsepower,Weight,GroundClearance,Torque ft-lb,EV,Convertible,Category
18,4,3.4,4,5,200,3197,6,258,0,0,0
25,6,3,4,5,252,3450,7,273,0,0,0
40,10,5.2,2,2,612,4464,5,413,0,1,1
30,4,2,4,5,210,3510,5,200,0,0.5,0
28,4,2,4,5,210,3541,5,200,0,0.5,0
27,4,2,4,5,241,3360,5,200,0,0.5,0
28,4,2,4,5,248,3370,5,258,0,0.5,0
20,6,3,2,4,425,3540,5,406,0,0.5,1
17,6,3,2,4,493,3530,5,406,0,0.5,1
17,6,3,2,4,493,3620,5,444,0,0.5,1
14,8,6.2,2,4,580,3720,4,556,0,0.5,1
18,8,6.2,2,4,580,3907,5,650,0,0.5,1
31,4,1.6,4,5,120,2578,4,125,0,0,0
25,4,2,4,5,225,2623,5,136,0,0,0
25,4,2.4,2,4,310,3526,5,320,0,0.5,1
25,4,2.3,2,4,200,3542,5,310,0,0.5,1
21,8,5,2,4,350,3705,5,420,0,0.5,1
33,4,1.8,4,5,143,2754,6,129,0,0,0
33,4,1.5,4,5,180,2742,6,162,0,0,0
22,4,2.5,4,5,164,2922,5,168,0,0,0
28,4,2,2,2,225,2339,5,151,0,1,1
24,4,1.2,2,2,140,2363,4,116,0,1,1
27,4,4,4,5,241,3417,4,273,0,0.5,0
27,4,4,4,5,218,3472,4,273,0,0.5,0
18,8,4,2,4,503,4085,6,516,0,0.5,1
18,8,4,2,4,503,3900,5,516,0,0.5,1
31,4,2.5,4,5,182,3193,5,180,0,0,0
29,4,2.5,4,5,182,3258,5,177,0,0,0
28,4,2,2,4,200,2824,5,151,0,0,1
28,4,2,2,4,200,2824,5,151,0,0,1
30,4,2,4,5,132,2800,6,128,0,0,0
28,4,2,2,4,200,2738,5,151,0,0,1
28,4,2,2,4,200,2817,5,151,0,0,1
48,4,1.8,4,5,134,3042,5,105,1,0,0
52,4,1.8,4,5,121,3075,5,105,1,0,0
