Make,Model,Trim,Year,MPG,Cylinders,Engine,Doors,Seats,Horsepower,Weight,GroundClearance,Torque ft-lb,EV,Convertible
Audi,A3,quattro 2Point0T Progressiv,2017,18,4,3.4,4,5,200,258,3197,6,0,0
Audi,A4,Auto Komfort quattro,2017,25,6,3,4,5,252,273,3450,7,0,0
Audi,R8,Spyder V10 plus 5Point2 FSI quattro S tronic,2018,40,10,5.2,2,2,612,413,4464,5,0,1
BMW,3-series,320i,2016,30,4,2,4,5,210,200,3510,5,0,1
BMW,3-series,320i,2017,28,4,2,4,5,210,200,3541,5,0,1
BMW,3-series,328i,2013,27,4,2,4,5,241,200,3360,5,0,1
BMW,3-series,330i,2018,28,4,2,4,5,248,258,3370,5,0,1
BMW,M3,2dr Cpe,2017,20,6,3,2,4,425,406,3540,5,0,1
BMW,M4,2dr Cpe,2016,17,6,3,2,4,493,406,3530,5,0,1
BMW,M4,2dr Cpe,2020,17,6,3,2,4,493,444,3620,5,0,1
Chevrolet,Camaro,ZL1,2015,14,8,6.2,2,4,580,556,3720,4,0,1
Chevrolet,Camaro,ZL1,2021,18,8,6.2,2,4,580,650,3907,5,0,1
Ford,Fieta,5dr HB SE,2014,31,4,1.6,4,5,120,125,2578,4,0,0
Ford,Focus,SE,2011,25,4,2,4,5,225,136,2623,5,0,0
Ford,Mustang,Ecoboost,2016,25,4,2.4,2,4,310,320,3526,5,0,1
Ford,Mustang,Ecoboost,2020,25,4,2.3,2,4,200,310,3542,5,0,1
Ford,Mustang,GT,2018,21,8,5,2,4,350,420,3705,5,0,1
Honda,Civic,LX,2015,33,4,1.8,4,5,143,129,2754,6,0,0
Honda,Civic,LX,2017,33,4,1.5,4,5,180,162,2742,6,0,0
Mazda,"""3""",Sport,2011,22,4,2.5,4,5,164,168,2922,5,0,0
Mazda,Miata,GT,2019,28,4,2,2,2,225,151,2339,5,0,1
Mazda,Miata,LS,2000,24,4,1.2,2,2,140,116,2363,4,0,1
Mercedes,c300,Base,2017,27,4,4,4,5,241,273,3417,4,0,1
Mercedes,c300,Base,2020,27,4,4,4,5,218,273,3472,4,0,1
Mercedes,c63 AMG,S,2018,18,8,4,2,4,503,516,4085,6,0,1
Mercedes,c63 AMG,S,2020,18,8,4,2,4,503,516,3900,5,0,1
Nissan,Altima,SL,2014,31,4,2.5,4,5,182,180,3193,5,0,0
Nissan,Altima,SL,2018,29,4,2.5,4,5,182,177,3258,5,0,0
Subaru,BRZ,Sport-tech,2015,28,4,2,2,4,200,151,2824,5,0,0
Subaru,BRZ,Sport-tech,2016,28,4,2,2,4,200,151,2824,5,0,0
Toyota,Corolla,LE,2013,30,4,2,4,5,132,128,2800,6,0,0
Toyota,GT86,cpe,2014,28,4,2,2,4,200,151,2738,5,0,0
Toyota,GT86,cpe,2020,28,4,2,2,4,200,151,2817,5,0,0
Toyota,Prius,V,2014,48,4,1.8,4,5,134,105,3042,5,1,0
Toyota,Prius,V,2018,52,4,1.8,4,5,121,105,3075,5,1,0
